state,date,faac,share_derivation_13,geo_zone,year
Abia,2007-01-01,1578445684.92,NA,South East,2007
Abia,2007-02-01,1745179575.05,NA,South East,2007
Abia,2007-03-01,3519392956.52,NA,South East,2007
Abia,2007-04-01,2205633280.88,NA,South East,2007
Abia,2007-05-01,2441654756.97,NA,South East,2007
Abia,2007-06-01,2349836190.15,NA,South East,2007
Abia,2007-07-01,2997299962.42,NA,South East,2007
Abia,2007-08-01,2762679016.42,NA,South East,2007
Abia,2007-09-01,2305597385.73,NA,South East,2007
Abia,2007-10-01,2343089584.87,NA,South East,2007
Abia,2007-11-01,2344170034.96,NA,South East,2007
Abia,2007-12-01,2535415221.04,NA,South East,2007
Abia,2008-01-01,2312058776.56,NA,South East,2008
Abia,2008-02-01,2106851184.17,NA,South East,2008
Abia,2008-03-01,3829219721.83,NA,South East,2008
Abia,2008-04-01,3193357708.73,NA,South East,2008
Abia,2008-05-01,5309084304.54,NA,South East,2008
Abia,2008-06-01,3150283353.22,NA,South East,2008
Abia,2008-07-01,3242396640.45,NA,South East,2008
Abia,2008-08-01,3150401949.76,NA,South East,2008
Abia,2008-09-01,3186773015.78,NA,South East,2008
Abia,2008-10-01,2952243770.6,NA,South East,2008
Abia,2008-11-01,2981678712.55,NA,South East,2008
Abia,2008-12-01,2996927438.39,NA,South East,2008
Abia,2009-01-01,3129830776.53,NA,South East,2009
Abia,2009-02-01,2110576586.43,NA,South East,2009
Abia,2009-03-01,2218188534.57,NA,South East,2009
Abia,2009-04-01,3467736721.02,NA,South East,2009
Abia,2009-05-01,2425818072.09,NA,South East,2009
Abia,2009-06-01,2533610816.01,NA,South East,2009
Abia,2009-07-01,2463619229.41,NA,South East,2009
Abia,2009-08-01,5057443171.92,NA,South East,2009
Abia,2009-09-01,2626857258.02,NA,South East,2009
Abia,2009-10-01,4887857035.56,NA,South East,2009
Abia,2009-11-01,2702263655.41,NA,South East,2009
Abia,2009-12-02,2851412415.12,NA,South East,2009
